hormone	n_men	mean_men	sd_men	n_postmenopausal	mean_postmenopausal	sd_postmenopausal	n_premenopausal	mean_premenopausal	sd_premenopausal
AGE	1220	62.226	11.039	475	69.172	7.177	144	52.03	5.43
ALDO_LCMS	1220	139.182	118.23	475	132.685	103.944	144	145.212	128.563
ANDRO_LCMS	1220	2.551	1.123	475	1.943	0.977	144	2.638	1.371
BMI	1220	29.491	4.642	475	30.136	5.345	144	30.345	6.749
CORT_LCMS	1220	404.971	129.92	475	415.453	151.448	144	395.971	172.047
DHEAS_LCMS	1220	3.355	2.28	475	1.729	1.272	144	3.078	1.936
E2_LCMS	1220	55.162	42.548	475	22.313	92.958	144	124.111	225.552
OHP17_LCMS	1220	1.934	1.028	475	0.756	0.725	144	1.021	0.899
PROG_LCMS	1220	0.371	0.131	475	0.331	0.215	144	1.417	4.051
TESTO_LCMS	1220	13.908	5.632	475	0.787	0.419	144	0.802	0.347
